Year;Tm;Player;Age;PER;TS%;TRB%;AST%;STL%
1978;CHI;Derrek Dickey;26;6.1;0.445;11.9;6.3;0.9
1978;HOU;Rudy White;24;6.4;0.409;5.1;13.4;1.7
1978;IND;Johnny Neumann;26;7.4;0.442;3.2;17.3;1.2
1978;CLE;Eddie Jordan;23;10.7;0.397;3.3;24.4;3.3
1978;ATL;Claude Terry;28;6.9;0.405;4.9;6.1;1.7
1978;MIL;Jim Eakins;31;11.5;0.539;9.9;9;1.1
1978;NJN;Mark Crow;23;12.8;0.473;8.5;7.8;1.4
1978;HOU;Zaid Abdul-Aziz;31;11.4;0.493;13.8;7;0.7
1978;LAL;Don Chaney;31;7.2;0.401;4.2;15.1;2.7
1978;BUF;Gary Brokaw;24;13.3;0.504;5;21.3;1.1
1978;DET;Kevin Porter;27;13.3;0.504;6.2;36.1;1.8
1978;NJN;Dave Wohl;28;1.5;0.446;1.6;14;1.1
1978;CHI;Jim Ard;29;2.7;0.52;15;7.8;0
1978;MIL;Scott Lloyd;25;7.3;0.401;12.3;9.5;1.2
1978;HOU;Larry Moffett;23;4;0.374;10.1;7.5;0.9
1978;POR;Dale Schlueter;32;6;0.464;10;19.9;1.3
1978;DET;Howard Porter;29;7;0.391;8.3;2.5;1.2
1978;HOU;Mike Dunleavy;23;15.7;0.45;4.7;29.7;3.7
1978;POR;Wally Walker;23;9.5;0.483;8.8;11.1;0.9
1978;SEA;Al Fleming;23;10.7;0.52;15.7;10.1;0
1978;SAS;Scott Sims;22;5.2;0.46;7.2;24.7;1.4
1978;IND;Bobby Wilson;27;6.6;0.402;6.8;12.9;1
1978;BUF;Gus Gerard;24;13.5;0.461;8.8;15.7;1.1
1978;MIL;Kevin Restani;26;10.8;0.45;8.8;13.5;0
1978;GSW;Larry McNeill;27;6.5;0.512;10.6;3.7;0
1978;HOU;Robin Jones;23;7.7;0.533;11.2;4.2;0.7
1978;BUF;Eddie Owens;24;8.8;0.444;8.5;11;0.7
1978;MIL;Rich Laurel;23;7.5;0.366;9.3;6.8;2.3
1978;KCK;Louie Nelson;26;2.4;0.398;2.9;11.1;1.7
1978;POR;Jacky Dorsey;23;14.4;0.524;10.2;8.1;0
1978;DET;Jim Bostic;25;18.9;0.537;17.5;9.7;0
1978;PHI;Wilson Washington;22;5.5;0.439;18.7;3.7;1.2
